Title,Authors,DOI,DOI link,Venue,Citation count,Year
Paradigm Translations in Integrating Manufacturing Information Using a Meta-model : The TSER Approach,"C. Hsu, Yicheng Tao, M'hamed Bouziane, G. Babin",-,-,-,13,1993
Model fragment comparison using natural language processing techniques,"Karagiannis Dimitris, BuchmannRobert Andrei",10.1007/978-3-642-54411-8_20,https://doi.org/10.1007/978-3-642-54411-8_20,-,3,2014
An Integrative Model of Mobile Phone Appropriation,"W. Wirth, T. V. Pape, V. Karnowski",10.1111/j.1083-6101.2008.00412.x,https://doi.org/10.1111/j.1083-6101.2008.00412.x,J. Comput. Mediat. Commun.,143,2008
Modeling the Semantics of Geographic Categories through Conceptual Integration,W. Kuhn,10.1007/3-540-45799-2_8,https://doi.org/10.1007/3-540-45799-2_8,International Conference Geographic Information Science,87,2002
System models effect on test integration cost,H. Pritchett,10.1109/AUTEST.2011.6058775,https://doi.org/10.1109/AUTEST.2011.6058775,2011 IEEE AUTOTESTCON,0,2011
Integration of Semantic Tools into Document Editors,"J. Welsh, Yun Yang",-,-,Softw. Concepts Tools,18,1994
Operations on metamodels in the context of a UML-based metamodeling architecture,"M. Terrasse, George Becker, M. Savonnet, É. Leclercq",10.1109/IDEAS.2003.1214962,https://doi.org/10.1109/IDEAS.2003.1214962,"Seventh International Database Engineering and Applications Symposium, 2003. Proceedings.",0,2003
A new metric based on extended spatial frequency and its application to DWT based fusion algorithms,"Yufeng Zheng, E. Essock, Bruce C. Hansen, A. Haun",10.1016/j.inffus.2005.04.003,https://doi.org/10.1016/j.inffus.2005.04.003,Information Fusion,271,2007
Toward Integrating Qualitative and Quantitative Methods: An Introduction,"A. Steckler, K. McLeroy, R. Goodman, S. T. Bird, Laurie Mccormick",10.1177/109019819201900101,https://doi.org/10.1177/109019819201900101,Health Education Quarterly,749,1992
Model Integration Using Metamodels,T. Maxwell,10.1177/003754979807000306,https://doi.org/10.1177/003754979807000306,International Conference on Advances in System Simulation,0,1998
Model-driven experiments for decision making teams,"A. Levis, V. Jin",10.1109/ICSMC.1990.142139,https://doi.org/10.1109/ICSMC.1990.142139,"1990 IEEE International Conference on Systems, Man, and Cybernetics Conference Proceedings",1,1990
An Information-Theoretic Predictive Model for the Accuracy of AI Agents Adapted from Psychometrics,"N. Chmait, D. Dowe, Yuan-Fang Li, D. Green",10.1007/978-3-319-63703-7_21,https://doi.org/10.1007/978-3-319-63703-7_21,Artificial General Intelligence,8,2017
Adapting the memory recall paradigm to evaluate interfaces,K. J. Vicente,10.1016/0001-6918(88)90035-2,https://doi.org/10.1016/0001-6918(88)90035-2,-,33,1988
Integrating computational models with experimental data in reliability,"M. LuValle, Janet L. Mrotek, L. R. Copeland, G. D. Brown, B. Lefevre, R. Throm",10.1117/12.481326,https://doi.org/10.1117/12.481326,SPIE LASE,3,2002
HCI reality - an 'Unreal Tournament'?,"C. Bartneck, G.W.M. Rauterberg",10.1016/j.ijhcs.2007.03.003,https://doi.org/10.1016/j.ijhcs.2007.03.003,Int. J. Hum. Comput. Stud.,43,2007
Testing theories of recognition memory by predicting performance across paradigms.,"David G. Smith, Matthew Duncan",10.1037/0278-7393.30.3.615,https://doi.org/10.1037/0278-7393.30.3.615,"Journal of Experimental Psychology. Learning, Memory and Cognition",55,2004
Intra and inter hemispheric dynamics revealed by reaction time in the Dimond paradigm: A quantitative review of the literature,"Yanick Leblanc-Sirois, C. Braun",10.1016/j.neuropsychologia.2014.03.012,https://doi.org/10.1016/j.neuropsychologia.2014.03.012,Neuropsychologia,12,2014
WYSIWYT testing in the spreadsheet paradigm: an empirical evaluation,"Karen J. Rothermel, C. Cook, M. Burnett, J. Schonfeld, T. Green, Gregg Rothermel",10.1145/337180.337206,https://doi.org/10.1145/337180.337206,Proceedings of the 2000 International Conference on Software Engineering. ICSE 2000 the New Millennium,146,2000
Combining experimental and inquiry methods in software usability evaluation: The paradigm of LvS educational software,"Nektarios Kostaras, Dimitris Stavrinoudis, Stavroula Sokoli, M. Xenos",10.1108/13287261011042921,https://doi.org/10.1108/13287261011042921,Journal of Systems and Information Technology,4,2010
Code Quality Metric of Searching Algorithms for Multi-Paradigm Languages,"K. A. Sotonwa, M. O. Balogun, O. Titilayo",10.18535/IJSRM/V7I2.EC03,https://doi.org/10.18535/IJSRM/V7I2.EC03,International Journal of Scientific Research and Management,0,2019
COMPOSABLE SIMULATION MODELS AND THEIR FORMAL VALIDATION,Claudia Szabo,-,-,-,5,2010
Towards an Experimental Framework for Measuring Usability of Model-Driven Tools,"José Ignacio Panach, Nelly Condori-Fernández, A. Baars, T. Vos, Ignacio Romeu, Ó. Pastor",10.1007/978-3-642-23768-3_102,https://doi.org/10.1007/978-3-642-23768-3_102,IFIP TC13 International Conference on Human-Computer Interaction,5,2011
Empirical Validation of the Saliency-based Model of Visual Attention,"N. Ouerhani, R. Wartburg, Heinz Hügli, René M. Müri",10.5565/REV/ELCVIA.66,https://doi.org/10.5565/REV/ELCVIA.66,-,168,2003
Integrating Formal Methods by Unifying Abstractions,R. Boute,10.1007/978-3-540-24756-2_24,https://doi.org/10.1007/978-3-540-24756-2_24,International Conference on Integrated Formal Methods,20,2004
Formal Models at the Core,"E. Chemla, Isabelle Charnavel, Isabelle Dautriche, David Embick, F. Lerdahl, P. Patel-Grosz, D. Poeppel, Philippe Schlenker",10.1111/cogs.13267,https://doi.org/10.1111/cogs.13267,Cognitive Sciences,2,2023
A novel discontinuity metric for unit selection text-to-speech synthesis,J. Bellegarda,-,-,Speech Synthesis Workshop,27,2004
Experimental validation of the diffusion model based on a slow response time paradigm,"Veronika Lerche, A. Voss",10.1007/s00426-017-0945-8,https://doi.org/10.1007/s00426-017-0945-8,Psychological Research,61,2017
Integrated Modeling and Verification of Real-Time Systems through Multiple Paradigms,"M. Bersani, Carlo A. Furia, Matteo Pradella, M. Rossi",10.1109/SEFM.2009.16,https://doi.org/10.1109/SEFM.2009.16,2009 Seventh IEEE International Conference on Software Engineering and Formal Methods,7,2009
Paradigm Issues in Critical Systems Thinking and Their Interpretation in Three Developmental Systemic Interventions,"D. Petkov, O. Petkova, T. Nepal, T. Andrew",-,-,-,3,2006
Integrating goal-oriented measurement for evaluation of model transformation,"Shekoufeh Kolahdouz Rahimi, K. Lano",10.1109/CSICSSE.2011.5964000,https://doi.org/10.1109/CSICSSE.2011.5964000,International Conference on Computer Science and Software Engineering,7,2011
Session details: Integration of paradigms,R. Echahed,10.1145/3253855,https://doi.org/10.1145/3253855,Proceedings of the 11th ACM SIGPLAN conference on Principles and practice of declarative programming,0,2009
On the Feasibility of a Unified Modelling and Programming Paradigm,"A. Haxthausen, J. Peleska",10.1007/978-3-319-47169-3_4,https://doi.org/10.1007/978-3-319-47169-3_4,Leveraging Applications of Formal Methods,3,2016
"Methodologies of compatibility of paradigms of society: Philosophical, psychological, and system-technical foundations",Василий Морозов,10.33983/2075-1826-2024-2-209-217,https://doi.org/10.33983/2075-1826-2024-2-209-217,Management and Business Administration,0,2024
A Rough Set Formalization of Quantitative Evaluation with Ambiguity,"P. Paroubek, Xavier Tannier",-,-,International Conference on Language Resources and Evaluation,0,2012
Stimulus–response compatibility and affective computing: a review,"Paul M. C. Lemmens, A. D. Haan, G. P. Galen, R. Meulenbroek",10.1080/14639220600588168,https://doi.org/10.1080/14639220600588168,-,8,2007
Avaliando a Integração em Cadeias de Suprimentos - Um Estudo de Caso no Setor Automobilístico Evaluating Integration in Supply Chains - A Case Study in the Automotive Industry,"Tarcísio Afonso, Bruno Pellizzaro Dias Afonso, Vítor M. Santos",10.20397/2177-6652/2013.V13I1.413,https://doi.org/10.20397/2177-6652/2013.V13I1.413,-,3,2013
Development of a novel visuomotor integration paradigm by integrating a virtual environment with mobile eye-tracking and motion-capture systems,"Haylie L. Miller, N. Bugnariu, R. Patterson, Indika B. Wijayasinghe, D. Popa",10.1109/ICVR.2017.8007481,https://doi.org/10.1109/ICVR.2017.8007481,2017 International Conference on Virtual Rehabilitation (ICVR),6,2017
On integration of programming paradigms,A. Mycroft,10.1145/234528.234735,https://doi.org/10.1145/234528.234735,CSUR,5,1996
Dimensional overlap: cognitive basis for stimulus-response compatibility--a model and taxonomy.,"S. Kornblum, T. Hasbroucq, A. Osman",10.1037/0033-295X.97.2.253,https://doi.org/10.1037/0033-295X.97.2.253,Psychology Review,1955,1990
Incremental to radical ideas: paradigm-relatedness metrics for investigating ideation creativity and diversity,"Eli Silk, S. Daly, K. Jablokow, Seda McKilligan",10.1080/21650349.2018.1463177,https://doi.org/10.1080/21650349.2018.1463177,-,9,2019
Bridging Scales and Paradigms in Natural Systems Modeling,F. Villa,10.1007/978-3-642-16552-8_1,https://doi.org/10.1007/978-3-642-16552-8_1,International Conference on Metadata and Semantics Research,3,2010
Towards the systematic measurement of ATL transformation models,"José Barranquero Tolosa, Oscar Sanjuán Martínez, Vicente García Díaz, B. C. P. García-Bustelo, J. M. C. Lovelle",10.1002/spe.1033,https://doi.org/10.1002/spe.1033,"Software, Practice & Experience",27,2011
"Towards query model integration: topology-aware, IR-inspired metrics for declarative graph querying","L. Gomes, Rodrigo Jensen, André Santanchè",10.1145/2457317.2457350,https://doi.org/10.1145/2457317.2457350,International Conference on Extending Database Technology,6,2013
An introduction to multi-paradigm modelling and simulation.,"H. Vangheluwe, J. de Lara, P. Mosterman",-,-,-,207,2002
The Viewpoint Paradigm: a semiotic based approach for the intelligibility of a cooperative designing process,Pierre-Jean Charrel,10.3127/AJIS.V10I1.166,https://doi.org/10.3127/AJIS.V10I1.166,Australasian Journal of Information Systems,11,2002
Reconciling Feature Modeling: A Feature Modeling Metamodel,V. Vranić,10.1007/978-3-540-30196-7_10,https://doi.org/10.1007/978-3-540-30196-7_10,Net.ObjectDays,33,2004
Summary of the 6th International Workshop on Multi-Paradigm Modeling (MPM'12),"Cécile Hardebolle, Eugene Syriani, J. Sprinkle, T. Mészáros",10.1145/2508443.2508444,https://doi.org/10.1145/2508443.2508444,MPM '12,3,2012
Proceedings of the 6th International Workshop on Multi-Paradigm Modeling,"Cécile Hardebolle, Eugene Syriani, J. Sprinkle, T. Mészáros",-,-,ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,0,2012
Towards Paradigm-Independent Software Assessment,"S. Bryton, Fernando Brito e Abreu",10.1109/QUATIC.2007.24,https://doi.org/10.1109/QUATIC.2007.24,Quality of Information and Communications Technology,11,2007
Integration testing of heterotic systems,"M. Gheorghe, M. Stannett",10.1098/rsta.2014.0222,https://doi.org/10.1098/rsta.2014.0222,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",2,2014
Integrating diverse paradigms in evolution and maintenance by an XML-based unified model,"Chih-Wei Lu, W. Chu, Chih-Hung Chang, Don-Lin Yang, Wen-Da Lian",10.1002/smr.272,https://doi.org/10.1002/smr.272,J. Softw. Maintenance Res. Pract.,8,2003
Complexity and Model Integration: Formalisations,"Manish Patel, S. Nagl",10.1007/978-3-642-15603-8_4,https://doi.org/10.1007/978-3-642-15603-8_4,-,0,2010
An Operational Process for Goal-Driven Definition of Measures,"L. Briand, S. Morasca, V. Basili",10.1109/TSE.2002.1158285,https://doi.org/10.1109/TSE.2002.1158285,IEEE Trans. Software Eng.,166,2002
Utilisation de la transformation de modeles pour faciliter la sélection de composants logiciels,"Kahina Hassam, B. George, Régis Fleurquin, S. Sadou",-,-,-,3,2008
A scenario-based verification technique to assess the compatibility of collaborative business processes,"M. D. Backer, M. Snoeck, Geert Monsieur, Wilfried Lemahieu, G. Dedene",10.1016/j.datak.2008.12.002,https://doi.org/10.1016/j.datak.2008.12.002,Data & Knowledge Engineering,33,2009
